2018-02-10 1:40:26,Great!,,,,,,,,
2018-02-10 1:40:37,User Pressed Green Button!,,,,,,,,
2018-02-10 1:40:39,Would you like to do any jumping jacks?,,,,,,,,
2018-02-10 1:40:52,i'll count. do 7,,,,,,,,
2018-02-10 1:40:59,1,,,,,,,,
2018-02-10 1:41:01,2,,,,,,,,
2018-02-10 1:41:04,3,,,,,,,,
2018-02-10 1:41:06,4,,,,,,,,
2018-02-10 1:41:08,5,,,,,,,,
2018-02-10 1:41:11,6,,,,,,,,
2018-02-10 1:41:15,6 and one half,,,,,,,,
2018-02-10 1:41:20,7,,,,,,,,
2018-02-10 1:41:26,Great,,,,,,,,
2018-02-10 1:41:39,Help yourself to a healthy snack,,,,,,,,
2018-02-10 1:41:42,NUDGE' Motion Triggered,,,,,,,,
2018-02-10 1:41:45,ROTATE' Motion Triggered,,,,,,,,
2018-02-10 1:41:52,ROTATE' Motion Triggered,,,,,,,,
2018-02-10 1:41:59,how are you feeling now?,,,,,,,,
2018-02-10 1:42:21,Great! Thank you,have a nice day,,,,,,,
2018-02-10 1:43:03,Sorry,,,,,,,,
2018-02-10 1:43:10,Hoopla,,,,,,,,
2018-02-10 1:43:13,Hoopla,,,,,,,,
2018-02-10 1:43:18,Hoopla,,,,,,,,
2018-02-10 1:43:25,Hoopla,,,,,,,,
2018-02-10 1:43:40,Hoopla,,,,,,,,
2018-02-10 1:43:41,Hoopla,,,,,,,,
2018-02-10 1:43:44,Hoopla,,,,,,,,
2018-02-10 1:44:05,Now it's time for some pushups! Tell me when you're ready.,,,,,,,,
2018-02-10 1:46:50,Greetings,,,,,,,,
2018-02-10 1:46:51,Greetings,,,,,,,,
2018-02-10 1:47:00,Greetings,,,,,,,,
2018-02-10 1:47:01,Hi There!,,,,,,,,
2018-02-10 1:47:02,Hello!,,,,,,,,
2018-02-10 1:47:04,Greetings,,,,,,,,
2018-02-10 1:47:06,Hello!,,,,,,,,
2018-02-10 1:47:08,Hi There!,,,,,,,,
2018-02-10 1:54:49,I should have been sad when my flashlight batteries died... but I was de lighted.,,,,,,,,
2018-02-10 1:54:49,Great!,,,,,,,,
2018-02-10 1:54:50,Sounds Good!,,,,,,,,
2018-02-10 1:54:51,Nice talking with you.,,,,,,,,
2018-02-10 1:55:06,Hi There!,,,,,,,,
2018-02-10 1:55:10,Are you Brian?,,,,,,,,
2018-02-10 1:55:18,Great!,,,,,,,,
2018-02-10 1:55:35,Is now a good time? You can use my buttons to reply.,,,,,,,,
2018-02-10 1:55:40,User Pressed Green Button!,,,,,,,,
2018-02-10 1:55:43,Great!,,,,,,,,
2018-02-10 1:55:58,How are you feeling today? You can use my buttons to reply,,,,,,,,
2018-02-10 1:56:08,User Pressed Red Button!,,,,,,,,
2018-02-10 1:56:08,User Pressed Red Button!,,,,,,,,
2018-02-10 1:56:10,User Pressed Red Button!,,,,,,,,
2018-02-10 1:56:12,Oh dear,,,,,,,,
2018-02-10 1:56:20,Well,exercise can often help your mood,,,,,,,
2018-02-10 1:56:33,Would you like to do some pushups?,,,,,,,,
2018-02-10 1:56:43,Ok,,,,,,,,
2018-02-10 1:56:48,Let's do 4,,,,,,,,
2018-02-10 1:56:57,I'll count,,,,,,,,
2018-02-10 1:57:00,Now it's time for some pushups! Tell me when you're ready.,,,,,,,,
2018-02-10 1:57:01,Now it's time for some pushups! Tell me when you're ready.,,,,,,,,
2018-02-10 1:57:01,Now it's time for some pushups! Tell me when you're ready.,,,,,,,,
2018-02-10 1:57:07,1,,,,,,,,
2018-02-10 1:57:08,2,,,,,,,,
2018-02-10 1:57:10,3,,,,,,,,
2018-02-10 1:57:12,4,,,,,,,,
2018-02-10 1:57:13,5,,,,,,,,
2018-02-10 1:57:15,nice,,,,,,,,
2018-02-10 1:57:18,extra points,,,,,,,,
2018-02-10 1:57:28,Feel free to take a snack,,,,,,,,
2018-02-10 1:57:32,NUDGE' Motion Triggered,,,,,,,,
2018-02-10 1:57:34,NUDGE' Motion Triggered,,,,,,,,
2018-02-10 1:57:38,NUDGE' Motion Triggered,,,,,,,,
2018-02-10 1:57:41,ROTATE' Motion Triggered,,,,,,,,
2018-02-10 1:57:54,ROTATE' Motion Triggered,,,,,,,,
2018-02-10 1:58:05,You're welcome,,,,,,,,
2018-02-10 1:58:11,How are you feeling now?,,,,,,,,
2018-02-10 1:58:17,User Pressed Green Button!,,,,,,,,
2018-02-10 1:58:20,Great!,,,,,,,,
2018-02-10 1:58:23,Have a nice day,,,,,,,,
2018-02-10 1:59:01,User Pressed Red Button!,,,,,,,,
2018-02-10 1:59:02,User Pressed Red Button!,,,,,,,,
2018-02-10 1:59:02,User Pressed White Button!,,,,,,,,
2018-02-10 1:59:03,User Pressed Green Button!,,,,,,,,
2018-02-10 1:59:03,User Pressed White Button!,,,,,,,,
2018-02-10 1:59:03,User Pressed White Button!,,,,,,,,
2018-02-10 1:59:04,User Pressed Red Button!,,,,,,,,
2018-02-10 1:59:04,User Pressed Red Button!,,,,,,,,
2018-02-10 1:59:04,User Pressed White Button!,,,,,,,,
2018-02-10 1:59:05,User Pressed Green Button!,,,,,,,,
2018-02-10 2:03:39,Exercise is an important part of overall health!,,,,,,,,
2018-02-10 2:03:42,Get ready to do some exercise,,,,,,,,
2018-02-10 2:03:43,Exercise is an important part of overall health!,,,,,,,,
2018-02-10 2:03:44,Exercise is an important part of overall health!,,,,,,,,
